Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,998380,998380,0,0,0,0,0,0,0,0,0,0,0
1,998268,998268,0,0,0,0,0,0,0,0,0,0,0
2,1000000,998267,1733,0,0,0,135,1598,0,136,1,0,0
3,1000001,998643,1358,0,0,0,159,1196,0,244,3,0,0
4,1000001,998347,1654,0,0,0,124,1528,0,126,4,0,0
5,1000002,998369,1633,0,0,0,108,1521,0,114,4,0,0
6,1000001,998447,1554,0,0,0,136,1416,0,137,5,0,0
7,1000001,998107,1894,0,0,0,151,1741,0,157,16,0,0
8,1000000,998457,1543,0,0,0,112,1431,0,111,7,0,0
