Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,224400,224400,0,0,0,0,0,0,0,0,0,0,0
1,207900,207900,0,0,0,0,0,0,0,0,0,0,0
2,1000000,760250,239750,0,0,0,272,239477,0,730,33,0,0
3,1000000,750400,249600,0,0,0,305,249294,0,1266,23,0,0
4,1000000,608100,391900,0,0,0,1372,390527,0,1303,110,0,0
5,1000000,651000,349000,0,0,0,1216,347784,0,1217,169,0,0
6,1000000,657950,342050,0,0,0,1055,340994,0,1119,193,0,0
7,1000000,588450,411550,0,0,0,1209,410340,0,1301,256,0,0
8,1000000,592800,407200,0,0,0,1118,406082,0,1140,231,0,0
