Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,999969,999969,0,0,0,0,0,0,0,0,0,0,0
1,999969,999969,0,0,0,0,0,0,0,0,0,0,0
2,1000001,999917,84,0,0,0,14,68,0,53,3,0,0
3,1000000,999918,82,0,0,0,14,68,0,51,0,0,0
4,1000000,999961,39,0,0,0,10,29,0,8,0,0,0
5,1000000,999966,34,0,0,0,2,32,0,3,0,0,0
6,1000000,999963,37,0,0,0,6,31,0,6,1,0,0
7,1000000,999959,41,0,0,0,11,30,0,10,1,0,0
8,1000000,999965,35,0,0,0,4,31,0,4,2,0,0
