Arrival Time,Time in System,Request Service Time,Steal Count,Original Queue,Queue Length,Total Queue Length,Queue Checks,Time Left of Task Ahead,Requeue Wait Time,job_id,tasks_num_of_single_job,task_generation_time,completion_time
596,500,500,0,0,0,0,0,0,0,0,89,468,1095
681,5509,5500,0,2,0,0,1,9,0,0,89,468,6189
780,500,500,0,0,0,0,0,316,0,0,89,468,1279
804,606,500,1,0,0,0,6,20,106,0,89,468,1409
822,588,500,1,0,0,1,1,20,88,0,89,468,1409
842,568,500,1,0,1,2,0,5280,68,0,89,468,1409
920,610,500,1,0,0,0,3,5160,110,0,89,468,1529
1110,500,500,0,0,0,0,0,0,0,0,89,468,1609
1174,606,500,0,0,0,0,2,436,0,0,89,468,1779
1212,578,500,1,0,0,1,0,4900,78,0,89,468,1789
1248,552,500,1,0,1,2,0,4890,52,0,89,468,1799
1329,691,500,1,0,0,0,3,0,191,0,89,468,2019
1336,814,500,2,0,0,1,5,4540,314,0,89,468,2149
1428,592,500,1,0,1,2,1,0,92,0,89,468,2019
2232,500,500,0,0,0,0,0,0,0,1,84,2130,2731
2469,500,500,0,0,0,0,0,263,0,1,84,2130,2968
2525,605,500,1,0,0,0,6,3560,105,1,84,2130,3129
2624,505,500,1,0,0,1,0,3560,6,1,84,2130,3128
2670,562,500,0,0,0,0,4,62,0,1,84,2130,3231
2734,546,500,1,0,0,0,0,0,46,1,84,2130,3279
2805,605,500,1,0,0,0,3,370,105,1,84,2130,3409
2839,711,500,2,0,0,1,1,3140,211,1,84,2130,3549
2906,514,500,1,0,1,2,0,3270,14,2,84,2800,3419
3003,500,500,0,0,0,1,0,229,0,1,84,2130,3502
3039,693,500,0,0,0,1,2,193,0,2,84,2800,3731
3168,581,500,1,0,0,1,0,2941,81,2,84,2800,3748
3256,604,500,1,0,0,0,2,2830,104,2,84,2800,3859
3357,533,500,1,0,0,1,0,0,33,2,84,2800,3889
3371,632,500,0,0,0,1,2,361,0,2,84,2800,4002
3403,627,500,1,0,0,1,2,360,127,2,84,2800,4029
3448,592,500,1,0,1,2,0,2650,92,2,84,2800,4039
3601,629,500,1,0,0,0,1,2460,129,2,84,2800,4229
3630,619,500,1,0,0,1,0,2460,100,2,84,2800,4248
3691,541,500,0,0,1,2,0,41,0,3,86,3553,4231
3736,734,500,1,0,0,1,2,2220,234,2,84,2800,4469
3767,773,500,1,0,0,1,2,2220,203,2,84,2800,4539
3801,929,500,1,0,1,2,2,2220,169,3,86,3553,4729
3902,628,500,1,0,2,3,0,0,98,4,88,3699,4529
3932,568,500,1,0,3,4,0,0,68,3,86,3553,4499
3932,571,500,0,0,4,5,0,300,0,4,88,3699,4502
3982,2107,500,1,0,2,5,4,1600,608,4,88,3699,6088
4018,5731,5500,0,2,1,4,0,2172,0,3,86,3553,9748
4094,1996,500,1,0,0,3,4,1600,496,4,88,3699,6089
4095,637,500,0,0,1,4,0,137,0,3,86,3553,4731
4097,1022,500,1,0,2,5,4,0,523,4,88,3699,5118
4138,982,500,1,0,3,6,4,0,482,4,88,3699,5119
4144,859,500,0,0,4,7,1,88,0,3,86,3553,5002
4198,1421,500,1,0,5,8,4,0,422,4,88,3699,5618
4200,889,500,1,0,6,9,4,1600,390,3,86,3553,5088
4227,863,500,1,0,7,10,4,1600,363,3,86,3553,5089
4252,1368,500,1,0,7,8,4,0,368,4,88,3699,5619
4270,962,500,0,0,8,9,4,462,0,4,88,3699,5231
4344,1159,500,0,0,9,10,4,388,0,4,88,3699,5502
4373,1359,500,0,0,10,11,4,359,0,4,88,3699,5731
4402,1601,500,0,0,11,12,4,330,0,4,88,3699,6002
4411,819,500,1,0,12,13,4,1600,179,3,86,3553,5229
4461,1128,500,1,0,13,14,4,1600,129,3,86,3553,5588
4514,1076,500,1,0,13,14,3,1600,76,3,86,3553,5589
4523,1207,500,1,0,14,15,2,1600,67,3,86,3553,5729
4695,2005,500,2,0,3,12,4,100,1505,5,85,4404,6699
4760,6470,5500,0,2,4,11,0,1430,0,5,85,4404,11229
4838,2362,500,2,0,3,12,4,100,1362,5,85,4404,7199
4911,2289,500,2,0,4,13,4,100,1289,5,85,4404,7199
4972,1757,500,1,0,5,14,4,1,757,5,85,4404,6728
4974,1756,500,1,0,6,15,4,1,755,5,85,4404,6729
5055,2174,500,1,0,6,15,4,1,674,5,85,4404,7228
5068,6521,5500,0,2,5,16,0,1122,0,5,85,4404,11588
5153,1076,500,1,0,7,13,2,0,577,5,85,4404,6228
5248,982,500,1,0,7,12,2,0,482,5,85,4404,6229
5285,1415,500,2,0,8,13,4,100,915,5,85,4404,6699
5359,873,500,0,0,9,14,2,373,0,5,85,4404,6231
5625,878,500,0,0,9,12,2,107,0,6,87,5434,6502
5666,1066,500,0,0,10,13,0,66,0,6,87,5434,6731
