Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,983137,983137,0,0,0,0,0,0,0,0,0,0,0
1,980076,980076,0,0,0,0,0,0,0,0,0,0,0
2,1000007,971873,28134,0,0,0,9460,18050,0,10375,15,0,0
3,1000012,970224,29788,0,0,0,7040,21740,0,8198,26,0,0
4,1000005,983451,16554,0,0,0,1740,14410,0,2124,222,0,0
5,1000002,982452,17550,0,0,0,2440,14890,0,2525,190,0,0
6,1000003,987762,12241,0,0,0,2790,9170,0,2914,174,0,0
7,1000003,990334,9669,0,0,0,2400,7030,0,2533,289,0,0
8,1000002,982595,17407,0,0,0,3100,14190,0,3115,239,0,0
