Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,223600,223600,0,0,0,0,0,0,0,0,0,0,0
1,195700,195700,0,0,0,0,0,0,0,0,0,0,0
2,1000000,775750,224250,0,0,0,197,224052,0,494,17,0,0
3,1000000,746150,253850,0,0,0,336,253514,0,421,26,0,0
4,1000000,609700,390300,0,0,0,1176,389124,0,1117,93,0,0
5,1000000,647050,352950,0,0,0,1115,351833,0,1140,164,0,0
6,1000000,644200,355800,0,0,0,959,354841,0,1004,169,0,0
7,1000000,657150,342850,0,0,0,978,341872,0,995,193,0,0
8,1000000,645350,354650,0,0,0,980,353670,0,1035,195,0,0
