Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,993415,993415,0,0,0,0,0,0,0,0,0,0,0
1,991885,991885,0,0,0,0,0,0,0,0,0,0,0
2,1000011,984826,15185,0,0,0,6420,7850,0,7372,17,0,0
3,1000007,984706,15301,0,0,0,8320,6380,0,9011,17,0,0
4,1000000,997460,2540,0,0,0,230,2310,0,227,197,0,0
5,1000003,992785,7218,0,0,0,1260,5660,0,1387,119,0,0
6,1000002,995835,4167,0,0,0,1020,2960,0,1084,110,0,0
7,1000001,994115,5886,0,0,0,1710,4060,0,1761,195,0,0
8,1000002,991175,8827,0,0,0,1490,7230,0,1593,215,0,0
