Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,91200,91200,0,0,0,0,0,0,0,0,0,0,0
1,75500,75500,0,0,0,0,0,0,0,0,0,0,0
2,1000000,439455,560545,0,0,0,338,560207,0,360,31,0,0
3,1000000,412850,587150,0,0,0,361,586788,0,375,39,0,0
4,1000001,287326,712675,0,0,0,1014,711659,0,984,78,0,0
5,1000000,237550,762450,0,0,0,999,761451,0,1089,167,0,0
6,1000000,226100,773900,0,0,0,1052,772846,0,1129,200,0,0
7,1000000,221900,778100,0,0,0,1005,777095,0,1048,193,0,0
8,1000001,205350,794651,0,0,0,908,793741,0,976,180,0,0
