Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,993847,993847,0,0,0,0,0,0,0,0,0,0,0
1,992743,992743,0,0,0,0,0,0,0,0,0,0,0
2,1000004,984484,15520,0,0,0,7740,7540,0,14278,18,0,0
3,1000008,985485,14523,0,0,0,5970,8090,0,12782,20,0,0
4,1000000,997820,2180,0,0,0,450,1730,0,456,23,0,0
5,1000001,997470,2531,0,0,0,800,1620,0,923,26,0,0
6,1000000,999050,950,0,0,0,240,710,0,219,7,0,0
7,1000001,998211,1790,0,0,0,120,1560,0,234,21,0,0
8,1000000,997970,2030,0,0,0,790,1240,0,787,15,0,0
