job_id,tasks_num_of_single_job,task_generation_time,total_time,complation_time,finish_num,shortened_completion_timejob_id_order,tasks_num_of_single_job_order,task_generation_time_order,total_time_order,complation_time_ordered,finish_num
114,85,107907,6050,108508,86,46,114,85,107907,6050,108462,86
115,86,110472,7900,111175,87,51,115,86,110472,7900,111124,87
116,87,113372,8400,114023,88,-2,116,87,113372,8400,114025,88
117,89,113996,8050,114679,90,-21,117,89,113996,8050,114700,90
118,88,114268,6650,115050,89,183,118,88,114268,6650,114867,89
119,84,115352,11850,116056,85,2,119,84,115352,11850,116054,85
120,84,117266,8700,118409,85,390,120,84,117266,8700,118019,85
121,84,117360,9150,118171,85,-198,121,84,117360,9150,118369,85
122,88,118155,9350,118956,89,100,122,88,118155,9350,118856,89
123,84,120324,8700,121028,85,5,123,84,120324,8700,121023,85
124,80,120808,8050,121507,81,97,124,80,120808,8050,121410,81
125,84,121706,8250,122357,85,1,125,84,121706,8250,122356,85
126,90,122273,8550,122974,91,-100,126,90,122273,8550,123074,91
127,88,124976,7100,125631,89,53,127,88,124976,7100,125578,89
128,87,125195,7950,126100,88,104,128,87,125195,7950,125996,88
129,83,125252,8650,126245,84,-56,129,83,125252,8650,126301,84
130,85,125857,9200,126610,86,-168,130,85,125857,9200,126778,86
131,89,125992,8950,127012,90,105,131,89,125992,8950,126907,90
132,82,126479,8150,127356,83,-74,132,82,126479,8150,127430,83
133,88,126699,9800,127661,89,-153,133,88,126699,9800,127814,89
134,84,127530,8250,128331,85,125,134,84,127530,8250,128206,85
135,80,130302,8050,130955,81,-347,135,80,130302,8050,131302,81
136,88,130890,7100,131546,89,-96,136,88,130890,7100,131642,89
137,80,131304,6700,132006,81,48,137,80,131304,6700,131958,81
138,88,132204,9350,132907,89,49,138,88,132204,9350,132858,89
139,82,132426,7250,133111,83,-243,139,82,132426,7250,133354,83
140,89,135283,8500,135936,90,-49,140,89,135283,8500,135985,90
141,89,136396,6250,136947,90,0,141,89,136396,6250,136947,90
142,82,137699,8600,138352,83,-47,142,82,137699,8600,138399,83
143,85,137856,6950,138757,86,155,143,85,137856,6950,138602,86
144,82,138176,9500,139005,83,43,144,82,138176,9500,138962,83
145,85,139709,10550,140515,86,2,145,85,139709,10550,140513,86
146,83,139766,10000,140918,84,55,146,83,139766,10000,140863,84
147,89,140615,10300,141416,90,3,147,89,140615,10300,141413,90
148,83,142819,6400,143469,84,-1,148,83,142819,6400,143470,84
149,87,144095,6600,144945,88,198,149,87,144095,6600,144747,88
150,90,144155,6750,144904,91,-95,150,90,144155,6750,144999,91
151,81,144680,8100,145384,82,-3,151,81,144680,8100,145387,82
152,83,146722,8200,147373,84,-99,152,83,146722,8200,147472,84
153,80,147601,5800,148304,81,51,153,80,147601,5800,148253,81
154,84,147667,8250,148454,85,49,154,84,147667,8250,148405,85
155,89,149312,6700,150013,90,-1,155,89,149312,6700,150014,90
156,83,149455,8200,150315,84,-1,156,83,149455,8200,150316,84
157,83,150129,6850,150782,84,52,157,83,150129,6850,150730,84
158,80,151728,10300,152379,81,0,158,80,151728,10300,152379,81
159,84,152442,8700,153093,85,-1,159,84,152442,8700,153094,85
160,82,153746,8600,154398,83,-1,160,82,153746,8600,154399,83
161,90,153955,6300,154803,91,101,161,90,153955,6300,154702,91
162,86,154794,7000,155443,87,49,162,86,154794,7000,155394,87
163,80,157649,7150,158302,81,2,163,80,157649,7150,158300,81
164,87,158243,8400,158944,88,0,164,87,158243,8400,158944,88
