job_id,tasks_num_of_single_job,task_generation_time,total_time,complation_time,complation_time_ordered,shortened_completion_time
164,84,88310,37950,94711,97705,-2994
165,88,89172,40400,96211,99248,-3037
166,88,89691,41300,95628,100127,-4499
167,85,90025,37100,96253,100550,-4297
168,85,90084,38450,97803,98576,-773
169,87,90130,40800,98071,100576,-2505
170,82,90668,36500,98125,101676,-3551
171,89,90753,39100,98934,100024,-1090
172,85,90786,38450,99908,101526,-1618
173,81,91025,35550,100779,99681,1098
174,82,92353,37850,101332,100274,1058
175,84,93001,36600,102859,100826,2033
176,84,93015,37050,102878,101975,903
177,85,93275,39800,106579,102774,3805
178,83,94025,35200,102054,103876,-1822
179,85,94365,38450,102571,104876,-2305
180,86,95867,38050,103277,103130,147
181,90,96564,42750,104282,104052,230
182,86,96761,36700,103736,106384,-2648
183,83,97338,39250,104130,107384,-3254
184,84,97561,35700,105079,106333,-1254
185,83,98538,37450,105859,106726,-867
186,84,99155,37950,107781,105463,2318
187,81,100163,36900,106814,106579,235
188,88,100565,36800,106632,107333,-701
189,90,101267,40500,108832,108333,499
190,87,102330,39450,110234,109273,961
191,85,102743,40700,108827,109833,-1006
192,87,102943,39450,109282,110773,-1491
193,84,104436,38400,111930,111506,424
194,84,104525,38850,111877,112506,-629
195,86,104669,38050,112655,111178,1477
196,81,105025,37800,112932,112426,506
197,86,105099,38500,113281,112784,497
198,81,105819,37350,111742,113315,-1573
199,82,106416,38300,112378,115729,-3351
200,80,106819,34600,113782,117729,-3947
201,85,107499,40700,114534,116084,-1550
202,80,108982,36850,114283,118838,-4555
203,89,109101,41800,115564,120036,-4472
204,85,109122,37550,116875,120561,-3686
205,90,109601,43200,117877,121034,-3157
206,85,110318,39800,119377,117488,1889
207,90,110416,41850,119937,119284,653
208,81,110530,34650,117671,121784,-4113
209,85,110802,39350,118699,117428,1271
210,80,111143,37300,120481,123883,-3402
211,86,112092,39850,119932,124207,-4275
212,86,112272,36250,120036,121932,-1896
213,88,112720,40400,120437,123132,-2695
214,87,113173,39900,122482,124526,-2044
215,80,113195,35050,122927,125428,-2501
216,90,113472,39600,124257,125830,-1573
217,85,113928,37550,125257,126582,-1325
218,82,114660,38750,126027,127076,-1049
219,87,115066,38550,126937,126537,400
220,88,115453,41300,127937,127892,45
221,82,115588,37400,128027,129392,-1365
222,86,116104,38500,124980,132088,-7108
223,89,116211,40000,126719,132588,-5869
224,86,116246,37600,128062,129178,-1116
225,90,116405,37350,129883,130384,-501
226,82,116970,38300,129031,130582,-1551
227,80,117062,34600,129531,129488,43
228,82,118152,34700,129506,129586,-80
229,86,119472,40300,131901,128974,2927
230,80,119935,36400,133223,129474,3749
231,80,120177,36850,133971,130630,3341
232,88,121997,39500,134851,132025,2826
233,87,122233,41250,134006,132529,1477
234,82,122442,37850,136821,133880,2941
235,82,122460,35150,136506,134663,1843
236,86,123969,39850,136487,135663,824
237,86,124319,38950,136179,136228,-49
238,90,125081,41400,133031,134204,-1173
239,88,125758,40400,136588,135025,1563
240,83,126863,37000,145884,135680,10204
241,84,126958,38850,138588,136488,2100
242,82,127515,38300,136681,137988,-1307
243,90,127607,41400,136957,139138,-2181
244,85,128894,39350,137731,141136,-3405
245,80,129815,35050,138231,141716,-3485
246,82,130074,37850,139231,141888,-2657
247,87,130404,38100,140681,140186,495
248,81,131273,36000,141731,141380,351
249,80,132299,38200,144057,142728,1329
250,85,132321,38900,144181,143880,301
251,84,133087,35700,144731,144844,-113
252,82,133456,37400,145181,140212,4969
253,86,133831,38950,143273,142367,906
254,90,134021,41400,143873,144367,-494
255,89,134851,39100,147283,146136,1147
256,87,134927,40350,147688,148942,-1254
257,83,135184,37900,148283,151942,-3659
258,85,135484,37550,150383,153588,-3205
259,87,135658,41250,153238,157588,-4350
260,90,136098,41400,155207,158088,-2881
261,82,136204,36950,155331,146388,8943
262,85,136376,37550,149401,146728,2673
263,80,136425,35050,149793,146391,3402
264,87,136569,39450,149002,149673,-671
265,84,136991,37050,149923,151941,-2018
266,81,137115,36000,151101,151138,-37
267,80,137542,37750,152502,152138,364
268,87,138222,40350,153014,151186,1828
269,80,138256,35050,152923,151686,1237
270,89,139055,39550,153105,152494,611
271,84,139685,39300,153054,152813,241
272,88,139961,39050,153981,152906,1075
273,90,140107,40950,155101,154234,867
274,85,140423,39350,155660,153313,2347
275,87,140854,40800,156601,154132,2469
276,90,140952,43650,157101,157464,-363
277,87,141031,38550,158332,159340,-1008
278,85,144181,39800,160832,160067,765
279,90,144605,43200,163573,161991,1582
280,90,144754,40500,160735,163991,-3256
281,87,145215,40800,160453,165991,-5538
282,80,145980,34150,161453,168091,-6638
283,81,146019,37350,162553,171476,-8923
284,81,146174,37350,163553,174476,-10923
285,82,146700,37400,164000,177641,-13641
286,90,146832,42300,163438,181191,-17753
287,81,147096,35100,167086,183191,-16105
288,83,147202,37900,168136,185576,-17440
289,87,147477,39450,170088,165384,4704
290,80,147577,36850,163999,165783,-1784
291,83,148745,36550,164762,166529,-1767
292,81,149101,36900,165762,166774,-1012
