job_id,tasks_num_of_single_job,task_generation_time,total_time,complation_time,complation_time_ordered,shortened_completion_time
165,83,17766,19900,75545,68239,7306
166,85,18144,24950,77186,68625,8561
167,85,18236,23150,77035,69384,7651
168,87,18294,23700,67184,69868,-2684
169,81,18543,22050,67783,70384,-2601
170,81,18628,22950,68940,70984,-2044
171,82,18733,24800,69540,71484,-1944
172,87,18780,22350,69833,71984,-2151
173,87,18975,25500,70233,72875,-2642
174,84,19108,19500,70584,73326,-2742
175,86,19287,21850,70896,73975,-3079
176,81,19361,25650,71533,74876,-3343
177,90,19464,25200,72940,75376,-2436
178,80,19474,24700,72440,76376,-3936
179,84,19559,19950,73583,77384,-3801
180,83,19601,24850,73546,78087,-4541
181,82,19670,27500,74034,79737,-5703
182,83,19726,23950,76184,80737,-4553
183,85,19770,24950,75183,81737,-6554
184,81,19786,21150,76246,83342,-7096
185,87,19949,23250,77333,84637,-7304
186,90,19953,26100,77346,86692,-9346
187,84,20032,24000,77734,87187,-9453
188,90,20073,25650,77933,88387,-10454
189,87,20247,25950,78433,89487,-11054
190,84,20270,20850,80146,90192,-10046
191,81,20296,18900,79083,91637,-12554
192,85,20301,26300,80233,93287,-13054
193,82,20408,23000,83140,95092,-11952
194,85,20454,24950,84140,97642,-13502
195,84,20463,25800,82383,99742,-17359
196,84,20496,23100,83784,101242,-17458
197,89,20509,26500,84283,102842,-18559
198,90,20701,20700,84934,105042,-20108
199,89,20726,28300,85683,107542,-21859
200,84,20799,23100,87233,108542,-21309
201,84,20826,23550,87783,110237,-22454
202,86,20904,26350,87846,112387,-24541
203,85,21137,22250,88883,113437,-24554
204,86,21144,24100,89383,115687,-26304
205,86,21369,26800,90433,116787,-26354
206,87,21407,21900,90433,117685,-27252
207,87,21760,27750,91046,118091,-27045
208,90,21903,25200,91483,118844,-27361
209,80,21919,17500,91840,119191,-27351
210,80,22132,19750,93783,119390,-25607
211,84,22171,23100,92890,119885,-26995
212,87,22178,25950,93390,120885,-27495
213,84,22210,21300,95184,121385,-26201
214,80,22289,22450,95233,121885,-26652
215,80,22293,23800,95046,122294,-27248
216,80,22482,21550,95732,122941,-27209
217,83,22487,22150,98834,123540,-24706
218,90,22502,25200,98640,124041,-25401
219,85,22516,25400,97296,124585,-27289
220,83,22526,19900,99690,125085,-25395
221,81,22585,21150,99246,125735,-26489
222,89,22623,23800,99234,126791,-27557
223,83,22802,19000,101690,127641,-25951
224,86,22814,23650,101433,128991,-27558
225,84,22864,24000,101883,129644,-27761
226,86,22964,20950,102496,130144,-27648
227,85,23360,24950,103190,130835,-27645
228,89,23738,22900,100492,131694,-31202
229,88,23741,21050,100932,132491,-31559
230,82,23864,23900,101541,132844,-31303
231,82,23979,23000,102091,133535,-31444
232,80,24088,24250,103142,134091,-30949
233,82,24104,22550,103691,134591,-30900
234,81,24192,24300,104642,134991,-30349
235,90,24265,27900,104682,135490,-30808
236,85,24532,23600,105191,135691,-30500
237,80,24542,22450,105242,136444,-31202
238,86,24741,20950,107342,136891,-29549
239,86,24804,23200,107832,138140,-30308
240,86,24834,24550,107491,138944,-31453
241,86,24851,23650,107991,139541,-31550
242,87,24914,23250,107892,139791,-31899
243,85,25023,24500,108490,121037,-12547
244,87,25055,18750,108592,123087,-14495
245,88,25203,23750,109292,123637,-14345
246,85,25214,24950,109691,124542,-14851
247,85,25453,19100,110041,126487,-16446
248,90,25469,22950,111790,127637,-15847
249,83,25542,23500,112892,129392,-16500
250,84,25551,20400,113041,130937,-17896
251,83,25561,21250,113541,132037,-18496
252,89,25630,24700,113732,133087,-19355
253,86,25645,22750,113741,134287,-20546
254,86,25969,22300,114332,135192,-20860
255,80,25973,21100,114741,136637,-21896
256,83,26079,20800,116040,137787,-21747
257,83,26169,24400,115982,138742,-22760
258,81,26240,20700,116590,139292,-22702
259,85,26297,25850,117082,140041,-22959
260,80,26678,24250,118240,140591,-22351
261,87,26819,22350,119342,140885,-21543
262,85,26975,18200,119940,141385,-21445
263,81,27189,22500,121141,141841,-20700
264,80,27262,24250,121032,142491,-21459
265,84,27305,23100,121641,142940,-21299
266,89,27338,27850,121992,143635,-21643
267,84,27401,23550,119228,144591,-25363
268,82,27537,23900,120228,145040,-24812
269,84,27741,23550,120578,145641,-25063
270,83,27755,22600,115937,145235,-29298
271,80,27815,23350,116087,143137,-27050
272,83,27833,23050,116286,144292,-28006
273,90,28238,27900,118986,145748,-26762
274,89,28300,25150,119841,146291,-26450
275,81,28309,20250,119435,146385,-26950
276,84,28336,23550,119935,146690,-26755
277,83,28388,22150,119787,147291,-27504
278,90,28473,25650,120336,147690,-27354
279,90,28773,25200,120439,147987,-27548
280,88,28887,21500,121036,148042,-27006
281,81,28944,23850,121685,125228,-3543
282,80,29421,18850,122235,125670,-3435
283,80,29493,21550,122587,126675,-4088
284,85,29525,24950,123091,127180,-4089
285,88,29656,24650,124141,127975,-3834
286,80,29657,24250,124185,128670,-4485
287,88,29667,25100,124237,129221,-4984
288,87,29828,25050,124786,130271,-5485
289,80,30105,20650,126185,130821,-4636
290,83,30113,24850,126689,131275,-4586
291,87,30207,24150,128541,131770,-3229
292,81,30239,22050,127685,132278,-4593
293,84,30246,20400,128536,120831,7705
294,90,30529,23400,129591,121575,8016
295,86,30571,21850,129686,121881,7805
296,88,30873,23750,130339,122235,8104
297,82,30949,19400,131337,123835,7502
298,81,30994,20250,131236,125241,5995
299,82,31173,23000,131685,126841,4844
300,84,31325,24900,132091,128135,3956
301,86,31585,19600,133336,128735,4601
302,80,31598,24250,133285,129235,4050
303,84,31704,20400,133741,130441,3300
304,86,31771,22300,134385,131991,2394
305,80,32146,20200,134935,132885,2050
306,83,32259,22600,135387,133435,1952
307,89,32285,27850,136485,128284,8201
308,90,32400,26550,137085,128825,8260
309,80,32486,19300,131229,129381,1848
310,83,32504,23950,130630,130334,296
311,90,32562,25650,131189,131341,-152
312,87,32717,22800,132172,131631,541
313,87,32794,20550,131980,132125,-145
314,80,32818,23350,132672,132641,31
315,89,32951,22450,133222,133281,-59
316,83,32984,21700,135229,133672,1557
317,86,33033,25000,134425,134722,-297
318,88,33062,24650,135180,135272,-92
319,83,33205,22600,135925,135884,41
320,86,33453,22300,136730,136434,296
321,83,33717,22150,137379,137241,138
322,86,33807,23650,138339,137484,855
323,85,33837,21800,138730,137984,746
324,82,34013,22550,139075,138581,494
325,84,34111,23550,139939,139122,817
326,87,34484,25500,140729,139891,838
327,83,34576,24400,141372,140541,831
328,83,35083,25300,141830,141041,789
329,83,35196,25300,143980,141381,2599
330,82,35196,21200,144443,141881,2562
331,88,35211,24650,144523,142591,1932
332,85,35235,21800,144543,143422,1121
