job_id,tasks_num_of_single_job,task_generation_time,total_time,complation_time,complation_time_ordered,shortened_completion_timejob_id_order,tasks_num_of_single_job_order,task_generation_time_order,total_time_order
160,87,86300,39450,92733,94777,-2044,160,87,86300,39450
161,88,86506,39950,94177,91482,2695,161,88,86506,39950
162,88,86647,40850,94580,93276,1304,162,88,86647,40850
163,80,87839,36400,93726,95238,-1512,163,80,87839,36400
164,84,88310,37950,94711,94041,670,164,84,88310,37950
165,88,89172,40400,96211,95484,727,165,88,89172,40400
166,88,89691,41300,95628,96532,-904,166,88,89691,41300
167,85,90025,37100,96253,97837,-1584,167,85,90025,37100
168,85,90084,38450,97803,99032,-1229,168,85,90084,38450
169,87,90130,40800,98071,96974,1097,169,87,90130,40800
170,82,90668,36500,98125,98354,-229,170,82,90668,36500
171,89,90753,39100,98934,99326,-392,171,89,90753,39100
172,85,90786,38450,99908,100086,-178,172,85,90786,38450
173,81,91025,35550,100779,101086,-307,173,81,91025,35550
174,82,92353,37850,101332,101337,-5,174,82,92353,37850
175,84,93001,36600,102859,102745,114,175,84,93001,36600
176,84,93015,37050,102878,104339,-1461,176,84,93015,37050
177,85,93275,39800,106579,105295,1284,177,85,93275,39800
178,83,94025,35200,102054,103516,-1462,178,83,94025,35200
179,85,94365,38450,102571,105105,-2534,179,85,94365,38450
180,86,95867,38050,103277,105454,-2177,180,86,95867,38050
181,90,96564,42750,104282,105609,-1327,181,90,96564,42750
182,86,96761,36700,103736,105582,-1846,182,86,96761,36700
183,83,97338,39250,104130,106586,-2456,183,83,97338,39250
184,84,97561,35700,105079,104571,508,184,84,97561,35700
185,83,98538,37450,105859,106841,-982,185,83,98538,37450
186,84,99155,37950,107781,108391,-610,186,84,99155,37950
187,81,100163,36900,106814,110891,-4077,187,81,100163,36900
188,88,100565,36800,106632,112995,-6363,188,88,100565,36800
189,90,101267,40500,108832,115091,-6259,189,90,101267,40500
190,87,102330,39450,110234,117995,-7761,190,87,102330,39450
191,85,102743,40700,108827,109477,-650,191,85,102743,40700
192,87,102943,39450,109282,111878,-2596,192,87,102943,39450
193,84,104436,38400,111930,113878,-1948,193,84,104436,38400
194,84,104525,38850,111877,110477,1400,194,84,104525,38850
195,86,104669,38050,112655,111159,1496,195,86,104669,38050
196,81,105025,37800,112932,111084,1848,196,81,105025,37800
197,86,105099,38500,113281,112078,1203,197,86,105099,38500
198,81,105819,37350,111742,112636,-894,198,81,105819,37350
199,82,106416,38300,112378,113837,-1459,199,82,106416,38300
200,80,106819,34600,113782,115184,-1402,200,80,106819,34600
201,85,107499,40700,114534,115684,-1150,201,85,107499,40700
202,80,108982,36850,114283,115121,-838,202,80,108982,36850
203,89,109101,41800,115564,117128,-1564,203,89,109101,41800
204,85,109122,37550,116875,118017,-1142,204,85,109122,37550
205,90,109601,43200,117877,119017,-1140,205,90,109601,43200
206,85,110318,39800,119377,121446,-2069,206,85,110318,39800
207,90,110416,41850,119937,123946,-4009,207,90,110416,41850
208,81,110530,34650,117671,126091,-8420,208,81,110530,34650
209,85,110802,39350,118699,121443,-2744,209,85,110802,39350
210,80,111143,37300,120481,121939,-1458,210,80,111143,37300
211,86,112092,39850,119932,122734,-2802,211,86,112092,39850
212,86,112272,36250,120036,124178,-4142,212,86,112272,36250
213,88,112720,40400,120437,119094,1343,213,88,112720,40400
214,87,113173,39900,122482,122045,437,214,87,113173,39900
215,80,113195,35050,122927,123644,-717,215,80,113195,35050
