job_id,tasks_num_of_single_job,task_generation_time,total_time,complation_time,complation_time_ordered,shortened_completion_time
163,86,192368,88000,220949,226299,-5350
164,87,193578,123500,222288,229079,-6791
165,81,199161,85500,223179,234299,-11120
166,90,200288,85000,226449,234579,-8130
167,89,202066,99500,227788,237299,-9511
168,88,204115,69000,213369,227779,-14410
169,89,205747,104500,230029,239809,-9780
170,87,206035,108500,230529,240079,-9550
171,90,206308,75000,222036,241059,-19023
172,89,208374,74500,231949,233279,-1330
173,87,208805,83500,226469,234159,-7690
175,89,213036,80500,234179,245299,-11120
175,89,213036,84000,223129,245309,-22180
176,86,215541,93000,229929,245579,-15650
177,89,216251,99500,237449,246559,-9110
178,88,216618,114000,241529,240529,1000
179,81,216634,70500,241029,229439,11590
180,86,217607,88000,242949,248299,-5350
181,89,218091,89500,244288,244339,-51
182,87,219969,68500,237189,250799,-13610
183,88,220448,94000,239129,250809,-11680
184,83,222281,86500,248449,249779,-1330
185,87,222851,98500,249788,252059,-2271
186,87,223686,78500,250679,253799,-3120
187,80,223796,105000,246429,256299,-9870
188,83,224601,86500,246609,256579,-9970
189,82,225368,71000,248959,257559,-8600
190,88,226367,64000,250129,242147,7982
191,80,227623,65000,252029,259299,-7270
192,81,227708,75500,253689,255339,-1650
193,89,228643,79500,255288,261799,-6511
194,85,229345,67500,257429,261809,-4380
195,88,230140,84000,257529,263059,-5530
196,87,232139,88500,258029,267299,-9270
197,89,232438,74500,257609,267309,-9700
198,84,234583,82000,263529,268559,-5030
199,81,234734,75500,263029,270299,-7270
200,87,235791,93500,259959,274059,-14100
201,89,237029,79500,263109,275799,-12690
202,86,237860,83000,264949,259007,5942
203,90,239723,95000,266288,278299,-12011
204,86,245977,103000,271788,266339,5449
205,87,246126,78500,268529,267289,1240
206,88,247698,64000,265279,278309,-13030
207,85,250287,92500,272679,279559,-6880
208,90,252567,65000,274529,281299,-6770
209,82,253734,76000,275949,265368,10581
210,82,254627,71000,270959,283799,-12840
211,90,255362,75000,277288,272868,4420
212,88,255386,109000,280029,285059,-5030
213,86,256825,78000,281449,286799,-5350
215,88,257702,75000,283679,289299,-5620
215,88,257702,63500,282788,289309,-6521
216,84,258057,92000,285029,290559,-5530
217,84,259625,87000,288288,294799,-6511
218,87,259761,68500,281189,277368,3821
219,82,262680,91000,285109,280616,4493
220,82,262813,86000,290529,294809,-4280
221,87,264041,108500,292449,297799,-5350
222,81,267039,75500,293788,300299,-6511
225,89,271824,68500,296029,284529,11500
225,89,271824,101500,299288,301559,-2271
225,89,271824,103500,290609,303299,-12690
226,85,273448,82500,288585,305799,-17214
227,82,274379,86000,302029,306079,-4050
228,89,274578,84500,301529,295226,6303
229,88,274923,94000,304788,307059,-2271
230,84,275059,97000,303449,308799,-5350
231,81,275759,90500,307029,303948,3081
232,86,278568,88000,307529,311309,-3780
233,86,278603,88000,301429,314299,-12870
234,86,280007,88000,312529,305616,6913
235,81,280276,85500,313029,316809,-3780
236,88,281599,84000,315788,319799,-4011
237,83,282890,71500,305129,322299,-17170
238,83,283484,71500,302079,311116,-9037
239,90,284098,110000,316679,322309,-5630
240,81,285139,90500,318029,322579,-4550
241,90,287798,70000,309950,313647,-3697
242,86,288403,68000,310629,314007,-3378
243,87,288672,98500,321288,317226,4062
244,89,289066,94500,319949,325299,-5350
245,88,289556,89000,316391,328079,-11688
246,88,289751,99000,324029,333309,-9280
247,88,289989,89000,325449,333579,-8130
248,89,291424,89500,318409,334559,-16150
249,88,294191,84000,329029,328558,471
250,81,295442,100500,321891,338809,-16918
252,82,295938,82000,332288,331558,730
252,82,295938,80500,330949,341799,-10850
253,83,297497,101500,333179,344299,-11120
254,85,298469,72500,334529,344579,-10050
255,85,298749,82500,336449,347299,-10850
256,88,299810,84000,338679,349809,-11130
257,80,302254,70000,340029,350079,-10050
258,85,302547,82500,343288,330116,13172
259,89,303040,74500,344179,351059,-6880
260,84,304038,87000,345529,352799,-7270
261,90,304792,75000,334006,335668,-1662
262,80,305289,80000,339929,355309,-15380
263,85,305879,62500,346029,341058,4971
264,84,305974,87000,349679,355579,-5900
265,88,307120,84000,351529,356559,-5030
266,87,307995,68500,338085,360799,-22714
267,82,308065,71000,352949,360809,-7860
268,81,310696,65500,355179,361079,-5900
269,83,310817,76500,354288,362059,-7771
270,80,311497,80000,356529,363799,-7270
271,88,313031,74000,357029,366299,-9270
272,83,313440,76500,348450,358558,-10108
273,89,314541,74500,349085,366309,-17224
274,81,315254,60500,358449,366579,-8130
275,88,316269,99000,359788,369299,-9511
276,89,316465,89500,362529,371809,-9280
277,86,322391,73000,357885,349616,8269
278,82,322768,71000,358116,372079,-13963
279,82,322875,101000,365288,374799,-9511
280,85,325117,72500,366179,355116,11063
281,89,327288,64500,367529,357616,9913
282,90,328471,115000,368029,377579,-9550
283,90,328728,120000,374949,380299,-5350
284,83,329111,86500,371679,382809,-11130
285,88,329780,94000,365891,383079,-17188
286,83,332063,71500,367609,366116,1493
287,90,332950,120000,376288,388299,-12011
