Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,999969,999969,0,0,0,0,0,0,0,0,0,0,0
1,999969,999969,0,0,0,0,0,0,0,0,0,0,0
2,1000000,999960,40,0,0,0,10,30,0,9,0,0,0
3,1000000,999955,45,0,0,0,14,31,0,14,1,0,0
4,1000000,999951,49,0,0,0,18,31,0,18,1,0,0
5,1000000,999960,40,0,0,0,9,31,0,9,1,0,0
6,1000000,999958,42,0,0,0,10,32,0,11,2,0,0
7,1000000,999959,41,0,0,0,9,32,0,10,3,0,0
8,1000000,999948,52,0,0,0,21,31,0,21,1,0,0
