Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,998703,998703,0,0,0,0,0,0,0,0,0,0,0
1,998692,998692,0,0,0,0,0,0,0,0,0,0,0
2,999373,998113,1260,0,0,0,570,690,0,583,0,0,0
3,999373,997983,1390,0,0,0,710,680,0,697,1,0,0
4,999374,998453,921,0,0,0,240,670,0,228,11,0,0
5,999373,999343,30,0,0,0,0,30,0,7,6,0,0
6,999373,998833,540,0,0,0,0,540,0,8,6,0,0
7,999373,998473,900,0,0,0,240,660,0,221,6,0,0
8,999373,998343,1030,0,0,0,340,690,0,351,86,0,0
