Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,997355,997355,0,0,0,0,0,0,0,0,0,0,0
1,996981,996981,0,0,0,0,0,0,0,0,0,0,0
2,1000003,996203,3800,0,0,0,82,3712,0,177,9,0,0
3,1000003,996276,3727,0,0,0,122,3599,0,193,6,0,0
4,1000000,996700,3300,0,0,0,92,3208,0,90,12,0,0
5,1000001,996951,3050,0,0,0,81,2967,0,86,10,0,0
6,1000001,997303,2698,0,0,0,87,2609,0,91,13,0,0
7,1000001,996248,3753,0,0,0,102,3648,0,103,20,0,0
8,1000000,996097,3903,0,0,0,85,3818,0,85,14,0,0
