Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,999969,999969,0,0,0,0,0,0,0,0,0,0,0
1,999969,999969,0,0,0,0,0,0,0,0,0,0,0
2,1000000,999957,43,0,0,0,14,29,0,12,0,0,0
3,1000001,999963,38,0,0,0,5,31,0,7,1,0,0
4,1000000,999956,44,0,0,0,13,31,0,13,1,0,0
5,1000000,999960,40,0,0,0,9,31,0,9,1,0,0
6,1000000,999963,37,0,0,0,7,30,0,6,0,0,0
7,1000001,999954,47,0,0,0,14,31,0,16,1,0,0
8,1000000,999962,38,0,0,0,7,31,0,7,1,0,0
