Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,987567,987567,0,0,0,0,0,0,0,0,0,0,0
1,985560,985560,0,0,0,0,0,0,0,0,0,0,0
2,1000012,979415,20597,0,0,0,8630,11020,0,18946,21,0,0
3,1000009,979156,20853,0,0,0,7760,12410,0,19161,20,0,0
4,1000003,997460,2543,0,0,0,580,1680,0,851,23,0,0
5,1000001,999071,930,0,0,0,0,900,0,33,3,0,0
6,1000000,997290,2710,0,0,0,700,2010,0,665,19,0,0
7,1000001,996461,3540,0,0,0,1370,2160,0,1348,21,0,0
8,1000000,998720,1280,0,0,0,240,1040,0,216,18,0,0
