Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,231700,231700,0,0,0,0,0,0,0,0,0,0,0
1,202700,202700,0,0,0,0,0,0,0,0,0,0,0
2,1000000,747450,252550,0,0,0,344,252206,0,521,23,0,0
3,1000000,739950,260050,0,0,0,321,259729,0,420,25,0,0
4,1000000,629950,370050,0,0,0,1314,368736,0,1249,104,0,0
5,1000000,613450,386550,0,0,0,1367,385182,0,1344,186,0,0
6,1000000,599250,400750,0,0,0,1105,399645,0,1113,203,0,0
7,1000000,608150,391850,0,0,0,1021,390829,0,1081,219,0,0
8,1000000,615350,384650,0,0,0,1032,383617,0,1159,216,0,0
