Arrival Time,Time in System,Request Service Time,Steal Count,Original Queue,Queue Length,Total Queue Length,Queue Checks,Time Left of Task Ahead,Requeue Wait Time,job_id,tasks_num_of_single_job,task_generation_time,completion_time
1851,5000,5000,0,1,0,0,0,0,0,0,87,1674,6850
1867,5001,5000,0,1,0,0,4,4984,0,0,87,1674,6867
1899,50,50,0,0,0,0,0,0,0,0,87,1674,1948
1914,50,50,0,0,0,0,0,35,0,0,87,1674,1963
1932,52,50,1,0,0,0,3,1,2,0,87,1674,1983
1981,50,50,0,0,0,0,0,0,0,0,87,1674,2030
2049,50,50,0,0,0,0,0,0,0,0,87,1674,2098
2058,50,50,0,0,0,0,0,41,0,0,87,1674,2107
2067,501,500,1,0,0,0,2,0,2,0,87,1674,2567
2070,52,50,1,0,0,0,2,0,2,1,84,1921,2121
2087,5002,5000,1,1,0,0,1,33,2,1,84,1921,7088
2112,50,50,0,0,0,0,0,0,0,0,87,1674,2161
2148,50,50,0,0,0,0,0,14,0,0,87,1674,2197
2207,5001,5000,1,1,0,0,2,1,2,1,84,1921,7207
2225,500,500,0,0,0,0,0,0,0,1,84,1921,2724
2242,50,50,0,0,0,0,0,483,0,1,84,1921,2291
2256,52,50,1,0,0,0,2,1,2,1,84,1921,2307
2275,5003,5000,1,1,0,0,1,0,3,1,84,1921,7277
2341,500,500,0,0,0,0,0,384,0,1,84,1921,2840
2357,5003,5000,1,1,0,0,1,4918,3,1,84,1921,7359
2383,687,500,1,0,0,0,1,4708,187,1,84,1921,3069
5706,5002,5000,1,1,0,0,1,1570,2,2,89,5602,10707
5816,500,500,0,0,0,0,0,0,0,3,89,5708,6315
5817,500,500,0,0,0,0,0,499,0,2,89,5602,6316
5818,548,50,0,0,0,0,0,498,0,2,89,5602,6365
5830,537,50,0,0,0,1,0,486,0,2,89,5602,6366
5836,6015,5000,0,1,0,2,0,1015,0,2,89,5602,11850
5887,979,500,0,0,1,3,0,429,0,2,89,5602,6865
5959,908,500,0,0,2,4,0,357,0,2,89,5602,6866
6007,909,50,0,0,3,5,0,309,0,2,89,5602,6915
6024,5844,5000,0,1,0,6,0,827,0,3,89,5708,11867
6051,1316,500,0,0,4,7,0,265,0,2,89,5602,7366
6056,910,50,0,0,5,8,0,260,0,4,84,5923,6965
6064,952,50,0,0,6,9,0,252,0,3,89,5708,7015
6082,984,50,0,0,7,10,0,234,0,2,89,5602,7065
6084,1482,500,0,0,8,11,0,232,0,3,89,5708,7565
6085,1056,50,1,0,9,12,1,187,1006,4,84,5923,7140
6087,6206,5000,1,1,1,13,1,35,1206,4,84,5923,12292
6096,1095,50,1,0,10,14,1,187,995,2,89,5602,7190
6097,1144,50,1,0,11,15,1,187,994,3,89,5708,7240
6115,1143,50,1,0,12,16,1,187,976,4,84,5923,7257
6124,1167,50,1,0,13,17,1,187,967,3,89,5708,7290
6172,1586,500,1,0,14,18,1,187,919,4,84,5923,7757
6174,1154,50,1,0,15,19,1,187,917,4,84,5923,7327
6206,6122,5000,1,1,2,20,1,35,1087,4,84,5923,12327
6229,1188,50,0,0,16,21,1,87,0,4,84,5923,7416
6280,6080,5000,1,1,3,22,1,35,1013,4,84,5923,12359
6310,1157,50,0,0,17,23,1,6,0,4,84,5923,7466
6346,6412,5000,1,1,4,22,1,35,947,4,84,5923,12757
6367,9341,5000,1,1,5,22,1,35,926,4,84,5923,15707
6848,10445,5000,1,1,6,22,1,35,445,5,88,6725,17292
6862,655,50,0,0,14,22,1,4,0,5,88,6725,7516
6938,9913,5000,0,1,5,19,1,4913,0,5,88,6725,16850
6943,624,50,0,0,12,20,1,23,0,5,88,6725,7566
6945,671,50,0,0,13,21,1,21,0,5,88,6725,7615
7040,1027,500,0,0,12,20,1,26,0,5,88,6725,8066
7068,9800,5000,0,1,6,20,1,4783,0,5,88,6725,16867
7102,10228,5000,1,1,7,20,2,0,5228,5,88,6725,17329
7150,516,50,0,0,5,20,0,416,0,5,88,6725,7665
7216,10144,5000,1,1,8,19,2,0,5114,6,86,7115,17359
7220,10538,5000,1,1,9,20,2,0,5110,5,88,6725,17757
7232,484,50,0,0,6,21,0,334,0,6,86,7115,7715
7282,484,50,0,0,7,19,0,284,0,6,86,7115,7765
7302,514,50,0,0,8,19,0,264,0,6,86,7115,7815
7349,517,50,0,0,9,19,0,217,0,6,86,7115,7865
