Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,523881,523881,0,0,0,0,0,0,0,0,0,0,0
1,494444,494444,0,0,0,0,0,0,0,0,0,0,0
2,1000000,997344,2656,0,0,0,2,2654,0,4,0,0,0
3,1000000,997465,2535,0,0,0,6,2529,0,5,1,0,0
4,1000000,997282,2718,0,0,0,51,2667,0,54,3,0,0
5,1000000,994657,5343,0,0,0,37,5306,0,36,2,0,0
6,1000000,993872,6128,0,0,0,60,6068,0,62,7,0,0
7,1000000,994279,5721,0,0,0,48,5673,0,44,6,0,0
8,1000000,997130,2870,0,0,0,41,2829,0,43,0,0,0
