Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,999519,999519,0,0,0,0,0,0,0,0,0,0,0
1,999469,999469,0,0,0,0,0,0,0,0,0,0,0
2,1000000,999438,562,0,0,0,81,481,0,81,0,0,0
3,1000000,999315,685,0,0,0,84,601,0,84,0,0,0
4,1000000,999288,712,0,0,0,67,645,0,66,2,0,0
5,1000000,999301,699,0,0,0,49,650,0,49,1,0,0
6,1000000,999464,536,0,0,0,56,480,0,55,1,0,0
7,1000000,999456,544,0,0,0,65,479,0,63,4,0,0
8,1000000,999466,534,0,0,0,51,483,0,53,1,0,0
