运行名称,核心数,负载,模拟时间,99%尾延迟,99.9%尾延迟,吞吐量,丢弃时间百分比,分布
DARC_07_22-18-53,9,1,1000000,24062.019999999997,32956.43400000007,9036000.0,10,双峰
DARC_07_22-18-51,9,1,1000000,19421.11999999998,22165.864000000027,9010000.0,10,双峰
DARC_07_22-18-58,9,1,1000000,27884.52000000001,38810.03900000005,8985000.0,10,双峰
DARC_07_22-19-12,9,1,1000000,48399.20000000001,53257.48000000007,8861000.0,10,双峰
DARC_07_22-19-07,9,1,1000000,66985.03999999996,71819.63200000006,8872000.0,10,双峰
DARC_07_22-19-21,9,1,1000000,39222.0,44603.89200000081,8864000.0,10,双峰
DARC_07_22-19-11,9,1,1000000,21470.190000000002,26207.812000000125,8840000.0,10,双峰
DARC_07_22-19-25,9,1,1000000,34293.600000000006,47348.80800000008,8864000.0,10,双峰
DARC_07_22-19-32,9,1,1000000,44601.73999999998,50386.04700000009,8785000.0,10,双峰
DARC_08_16-55-51,9,0.1,1000000,5509.0,5519.9400000000005,900430.4057339408,10,双峰
DARC_08_19-32-29,9,0.2,1000000,5510.0,5518.0,1727000.0,10,双峰
DARC_08_20-10-20,9,0.3,1000000,5518.0,6002.46800000001,2720441.8341721115,10,双峰
DARC_08_20-25-19,9,0.4,1000000,5599.089999999999,7525.675000000076,3555000.0,10,双峰
DARC_08_20-52-04,9,0.5,1000000,5934.089999999991,8122.111000000246,4364000.0,10,双峰
DARC_08_21-11-46,9,0.6,1000000,6456.799999999996,8764.832000000231,5282000.0,10,双峰
DARC_08_21-20-01,9,0.7,1000000,7518.799999999988,9279.67000000005,6270000.0,10,双峰
DARC_08_21-27-23,9,0.8,1000000,9066.119999999992,11771.484000000128,7047000.0,10,双峰
DARC_08_21-31-44,9,0.9,1000000,19860.46999999999,25670.586000000018,8247000.000000001,10,双峰
DARC_08_21-39-53,9,1,1000000,29054.400000000034,38722.76000000001,8952000.0,10,双峰
